-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies 
30-year Meteorological and Solar Monthly & Annual Climatologies (January 1990 - December 2019) 
Location: Latitude  61.2181   Longitude -149.9003 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 295.96 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX                    MERRA-2 Temperature at 2 Meters Maximum (C) 
ALLSKY_SFC_SW_DNI_MAX      SRB V4/CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance Maximum (W/m^2) 
ALLSKY_SFC_SW_DIFF_MAX     SRB V4/CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance Maximum (W/m^2) 
-END HEADER-
PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,3.37,3.51,6.2,13.15,20.83,25.95,27.11,26.81,18.91,12.62,6.58,3.63,27.11
ALLSKY_SFC_SW_DNI_MAX,184.49,325.66,431.94,486.35,454.72,501.27,475.14,453.42,438.45,326.0,217.27,115.66,501.27
ALLSKY_SFC_SW_DIFF_MAX,15.4,44.25,102.12,155.57,184.73,189.59,194.31,162.52,109.46,59.98,24.42,6.83,194.31
